K,Root1_Real,Root1_Imag,Root2_Real,Root2_Imag,System_Type,Is_Stable,Iterations1,Iterations2,Error1,Error2,Discriminant
0.0,-0.267949,0.000000,-3.732051,0.000000,0,1,4,7,7.241002e-011,2.044587e-012,12.000000
1.0,-0.585786,0.000000,-3.414214,0.000000,0,1,4,7,6.026486e-007,3.313261e-010,8.000000
2.0,-1.000000,0.000000,-3.000000,0.000000,0,1,5,7,1.480956e-008,2.069112e-007,4.000000
3.0,-2.000000,0.000000,-2.000000,0.000000,1,1,1,1,0.000000e+000,0.000000e+000,0.000000
4.0,-2.000000,1.000000,-2.000000,-1.000000,2,1,1,1,0.000000e+000,0.000000e+000,-4.000000
5.0,-2.000000,1.414214,-2.000000,-1.414214,2,1,1,1,0.000000e+000,0.000000e+000,-8.000000
6.0,-2.000000,1.732051,-2.000000,-1.732051,2,1,1,1,0.000000e+000,0.000000e+000,-12.000000
7.0,-2.000000,2.000000,-2.000000,-2.000000,2,1,1,1,0.000000e+000,0.000000e+000,-16.000000
8.0,-2.000000,2.236068,-2.000000,-2.236068,2,1,1,1,0.000000e+000,0.000000e+000,-20.000000
9.0,-2.000000,2.449490,-2.000000,-2.449490,2,1,1,1,0.000000e+000,0.000000e+000,-24.000000
10.0,-2.000000,2.645751,-2.000000,-2.645751,2,1,1,1,0.000000e+000,0.000000e+000,-28.000000
